cis;x_norm;y_norm;offset_x;offset_y
MUNDOLSHEIM;0.6163;0.5221;0;0
MUSSIG;0.4957;0.8640;0;0
MUTTERSHOLTZ;0.5010;0.8272;0;0
MUTZIG;0.4242;0.6114;0;0
NAN;;;0;0
NIEDERBRONN LES BAIN;0.5458;0.2781;0;0
NIEDERHASLACH;0.3026;0.5881;0;0
NIEDERSCHAEFFFOLSHEI;0.6291;0.4165;0;0
NIEDERSOULTZBACH;0.4202;0.3616;0;0
NORD;;;0;0
NORDHOUSE;0.5941;0.6758;0;0
OBERHASLACH;0.3038;0.5890;0;0
OBERHOFFEN SUR MODER;0.7333;0.4009;0;0
OBERMODERN ZUTZENDOR;0.4702;0.3616;0;0
OBERNAI;0.4553;0.6719;0;0
OBERSCHAEFFOLSHEIM;0.5616;0.5669;0;0
OERMINGEN;0.1474;0.2511;0;0
OHLUNGEN;0.5954;0.3864;0;0
OHNENHEIM;0.4853;0.8907;0;0
ORSCHWILLER;0.3889;0.8526;0;0
OSTHOUSE;0.5816;0.7173;0;0
OSTWALD;0.6154;0.5987;0;0
OTTERSWILLER;0.3576;0.4678;0;0
OTTROTT;0.3739;0.6916;0;0
PETERSBACH;0.2663;0.3528;0;0
PLOBSHEIM;0.6429;0.6598;0;0
PREUSCHDORF;0.6642;0.2794;0;0
PRISME 1;;;0;0
PRISME 3;;;0;0
QUATZENHEIM;0.5290;0.5421;0;0
RAUWILLER;0.1537;0.4032;0;0
REICHSHOFFEN;0.5603;0.2909;0;0
REICHSTETT;0.6442;0.5147;0;0
REIPERTSWILLER;0.3964;0.2785;0;0
RHINAU;0.6429; 0.7721;0;0
RINGENDORF;0.4752;0.3979;0;0
RITTERSHOFFEN;0.7705;0.3015;0;0
ROESCHWOOG;0.8481;0.3687;0;0
ROHRWILLER;0.7552;0.4245;0;0
ROMANSWILLER;0.3714;0.5306;0;0
ROSENWILLER;0.3939;0.6368;0;0
ROSHEIM;0.4327;0.6430;0;0
ROSSFELD;0.5666;0.7792;0;0
SAALES;0.1750;0.7721;0;0
SAINT PIERRE;0.4490;0.7350;0;0
SAINT PIERRE BOIS TH;0.3714;0.7757;0;0
SALMBACH;0.8569;0.2396;0;0
SARRE UNION;0.1337;0.3006;0;0
SAVERNE;0.3326;0.4510;0;0
SCHAEFFERSHEIM;0.5516;0.6901;0;0
SCHARRACHBERGHEIM IR;0.4439;0.5838;0;0
SCHERWILLER;0.4351;0.8035;0;0
SCHIRMECK;0.2535;0.6671;0;0
SCHIRRHEIN;0.7609;0.3880;0;0
SCHLEITHAL;0.8273;0.2339;0;0
SCHNERSHEIM;0.5053;0.5094;0;0
SCHOENAU;0.6018;0.8567;0;0
SCHOENBOURG;0.2672;0.3854;0;0
SCHWEIGHOUSE SUR MOD;0.6268;0.3854;0;0
SCHWINDRATZHEIM;0.5241;0.4270;0;0
SEEBACH;0.7947;0.2534;0;0
SELESTAT;0.4542;0.8415;0;0
SELTZ;0.8906;0.3121;0;0
SERMERSHEIM;0.5166;0.7601;0;0
SESSENHEIM;0.8085;0.3916;0;0
SOUFFLENHEIM;0.7859;0.3801;0;0
SOULTZ SOUS FORETS;0.7333;0.2862;0;0
SSSM;;;0;0
STEINBOURG;0.3800;0.4368;0;0
STEINSELTZ;0.7534;0.2215;0;0
STILL;0.3600;0.5918;0;0
STOTZHEIM;0.4790;0.7442;0;0
STRASBOURG NORD;0.6614;0.5438;0;0
STRASBOURG SUD;0.6469;0.6049;0;0
STUTZHEIM OFFENHEIM;0.5216;0.5626;0;0
SUD;;;0;0
SUNDHOUSE;0.5617;0.8407;0;0
SURBOURG;0.6957;0.3048;0;0
TRIMBACH;0.8248;0.2782;0;0
